congestiegebied;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;info;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;jaartal_opgelost_invoeding;jaartal_opgelost_afname
Drenthe;;;;;;;20,0;;2741,0;;
Flevopolder, Utrecht en Gelderland;3706,0;3887,0;4583,0;4788,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;38,0;38,0;6645,0;6785,0;2033,0;2033,0
Friesland;970,0;;1199,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;20,0;;3650,0;;2027,0;
GDO, Noordelijk deelgebied;2406,0;;3602,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;50,0;;5622,0;;2029,0;
GDO, Zuidelijk deelgebied;1634,0;;3201,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;26,0;;3246,0;;2032,0;
Haven van Rotterdam;;570,0;;888,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;;11,0;;1039,0;;2029,0
Limburg;1900,0;1900,0;2288,0;2025,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;17,0;17,0;3589,0;3320,0;2030,0;2030,0
Noord-Brabant;2520,0;2718,0;3376,0;3106,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;44,0;44,0;4764,0;6224,0;2027,0;2027,0
Noordoostpolder;740,0;;817,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;12,0;;974,0;;2031,0;
Zeeland;;1200,0;;2244,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;;17,0;;3254,0;;2035,0
Noord-Holland;;4300,0;;7271,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;;40,0;;5671,0;;2036,0
Noord-Holland Noord;240,0;;320,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;12,0;;2140,0;;2027,0;
Overijssel;;1375,0;;1949,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;;24,0;;3352,0;;2035,0
Groningen West;;742,0;;807,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;;7,0;;744,0;;2035,0
Eemshaven Midden;;370,0;;376,0;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;;7,0;;555,0;;2033,0
Zuid-Holland;;;;;;;19,0;;3170,0;;
